"","pets","sex","status","sign","pets_dislike","pets_like","pets_has"
"33665","likes dogs","m","single","cancer",NA,"dogs",NA
"33666","likes dogs and has cats","f","single","sagittarius",NA,"dogs","cats"
"33667","likes dogs and likes cats","f","married","aries",NA,"dogs/cats",NA
"33668","has dogs and has cats","m","single","leo",NA,NA,"dogs/cats"
"33669","has dogs and has cats","f","available","aries",NA,NA,"dogs/cats"
"33670","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"33671",NA,"m","seeing someone","pisces",NA,NA,NA
"33672","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"33673","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"33674","has dogs","f","single","cancer",NA,NA,"dogs"
"33675","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33676",NA,"f","single","gemini",NA,NA,NA
"33677",NA,"f","single","aries",NA,NA,NA
"33678","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33679",NA,"m","single","libra",NA,NA,NA
"33680","has dogs and likes cats","m","single","leo",NA,"cats","dogs"
"33681","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33682","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33683","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33684","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"33685","likes dogs","m","single","aries",NA,"dogs",NA
"33686","has dogs and likes cats","m","available","gemini",NA,"cats","dogs"
"33687",NA,"m","available","virgo",NA,NA,NA
"33688","dislikes dogs and likes cats","m","single","capricorn","dogs","dogs/cats",NA
"33689",NA,"m","single","pisces",NA,NA,NA
"33690","has dogs","m","single","virgo",NA,NA,"dogs"
"33691","likes dogs","m","single","pisces",NA,"dogs",NA
"33692",NA,"m","single","gemini",NA,NA,NA
"33693","has dogs","m","single","leo",NA,NA,"dogs"
"33694","likes dogs and likes cats","m","available","cancer",NA,"dogs/cats",NA
"33695",NA,"m","single","gemini",NA,NA,NA
"33696","likes dogs and likes cats","m","seeing someone","virgo",NA,"dogs/cats",NA
"33697","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"33698","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"33699","likes dogs and likes cats","f","seeing someone","pisces",NA,"dogs/cats",NA
"33700","likes cats","m","single","taurus",NA,"cats",NA
"33701",NA,"m","single","aries",NA,NA,NA
"33702","likes dogs","m","single","gemini",NA,"dogs",NA
"33703",NA,"m","single","scorpio",NA,NA,NA
"33704","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33705","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"33706","likes dogs","f","single","taurus",NA,"dogs",NA
"33707","has dogs","m","single","libra",NA,NA,"dogs"
"33708","likes dogs and has cats","m","available","aries",NA,"dogs","cats"
"33709",NA,"f","single","aries",NA,NA,NA
"33710","likes dogs and likes cats","f","seeing someone","taurus",NA,"dogs/cats",NA
"33711",NA,"m","single","libra",NA,NA,NA
"33712",NA,"f","single","scorpio",NA,NA,NA
"33713",NA,"m","single","scorpio",NA,NA,NA
"33714","has dogs and likes cats","m","single","aquarius",NA,"cats","dogs"
"33715","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"33716","likes dogs","m","single","sagittarius",NA,"dogs",NA
"33717","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"33718","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"33719",NA,"m","single","gemini",NA,NA,NA
"33720",NA,"m","single","capricorn",NA,NA,NA
"33721",NA,"m","single","aquarius",NA,NA,NA
"33722","has dogs and has cats","m","available","gemini",NA,NA,"dogs/cats"
"33723","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"33724","has dogs and likes cats","f","single","capricorn",NA,"cats","dogs"
"33725",NA,"f","single","taurus",NA,NA,NA
"33726","has dogs and has cats","f","single","libra",NA,NA,"dogs/cats"
"33727",NA,"m","single","cancer",NA,NA,NA
"33728","likes dogs and likes cats","m","seeing someone","cancer",NA,"dogs/cats",NA
"33729","has cats","m","single","virgo",NA,NA,"cats"
"33730","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"33731","likes dogs and likes cats","m","married","pisces",NA,"dogs/cats",NA
"33732","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33733",NA,"m","single","aquarius",NA,NA,NA
"33734",NA,"f","single","scorpio",NA,NA,NA
"33735","has dogs and has cats","f","available","aries",NA,NA,"dogs/cats"
"33736","likes dogs","f","single","aquarius",NA,"dogs",NA
"33737",NA,"m","single","gemini",NA,NA,NA
"33738","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"33739","has dogs and dislikes cats","m","single","gemini","cats","cats","dogs"
"33740","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"33741",NA,"m","single","aquarius",NA,NA,NA
"33742","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33743","likes dogs and likes cats","m","seeing someone","aquarius",NA,"dogs/cats",NA
"33744","has dogs","m","single","scorpio",NA,NA,"dogs"
"33745","likes dogs and has cats","m","single","pisces",NA,"dogs","cats"
"33746","has dogs","m","single","capricorn",NA,NA,"dogs"
"33747",NA,"m","single","aquarius",NA,NA,NA
"33748","likes dogs","f","single","virgo",NA,"dogs",NA
"33749",NA,"f","single","taurus",NA,NA,NA
"33750","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33751",NA,"m","single","taurus",NA,NA,NA
"33752","likes dogs","m","single","aries",NA,"dogs",NA
"33753","has dogs","m","single","gemini",NA,NA,"dogs"
"33754",NA,"m","single","sagittarius",NA,NA,NA
"33755","has dogs","m","single","taurus",NA,NA,"dogs"
"33756","has dogs and likes cats","f","single","sagittarius",NA,"cats","dogs"
"33757","has dogs and dislikes cats","m","single","sagittarius","cats","cats","dogs"
"33758","has dogs and dislikes cats","m","single","virgo","cats","cats","dogs"
"33759","likes cats","m","single","capricorn",NA,"cats",NA
"33760",NA,"m","single","cancer",NA,NA,NA
"33761",NA,"m","single","aquarius",NA,NA,NA
"33762","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"33763","likes dogs","m","single","gemini",NA,"dogs",NA
"33764","likes dogs","m","single","libra",NA,"dogs",NA
"33765","has dogs","m","single","cancer",NA,NA,"dogs"
"33766","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"33767",NA,"m","single","cancer",NA,NA,NA
"33768",NA,"m","single","taurus",NA,NA,NA
"33769","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"33770","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"33771","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"33772","has cats","m","single","pisces",NA,NA,"cats"
"33773","likes dogs","m","single","virgo",NA,"dogs",NA
"33774","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"33775","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"33776","likes dogs and dislikes cats","m","single","scorpio","cats","dogs",NA
"33777",NA,"m","single","scorpio",NA,NA,NA
"33778","likes dogs","m","single","virgo",NA,"dogs",NA
"33779","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"33780","has dogs and likes cats","m","available","gemini",NA,"cats","dogs"
"33781","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"33782",NA,"m","available","cancer",NA,NA,NA
"33783",NA,"m","single","libra",NA,NA,NA
"33784","has dogs","m","single","aquarius",NA,NA,"dogs"
"33785","has dogs","f","single","virgo",NA,NA,"dogs"
"33786","has dogs and likes cats","f","single","cancer",NA,"cats","dogs"
"33787","likes dogs","f","single","capricorn",NA,"dogs",NA
"33788","likes dogs","f","single","gemini",NA,"dogs",NA
"33789","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"33790","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33791","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33792","has dogs and has cats","m","single","sagittarius",NA,NA,"dogs/cats"
"33793","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"33794","likes dogs","m","single","virgo",NA,"dogs",NA
"33795","has dogs and has cats","m","single","libra",NA,NA,"dogs/cats"
"33796","likes dogs","m","single","aries",NA,"dogs",NA
"33797","likes dogs and has cats","m","single","libra",NA,"dogs","cats"
"33798",NA,"m","single","taurus",NA,NA,NA
"33799",NA,"m","single","pisces",NA,NA,NA
"33800",NA,"m","single","capricorn",NA,NA,NA
"33801","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"33802","likes dogs and dislikes cats","m","single","taurus","cats","dogs",NA
"33803",NA,"m","single","aquarius",NA,NA,NA
"33804","likes dogs and likes cats","m","available","taurus",NA,"dogs/cats",NA
"33805","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"33806","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"33807",NA,"m","single","aquarius",NA,NA,NA
"33808","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"33809","has dogs","f","single","leo",NA,NA,"dogs"
"33810",NA,"f","single","leo",NA,NA,NA
"33811","likes dogs and likes cats","m","seeing someone","aries",NA,"dogs/cats",NA
"33812","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"33813","likes cats","m","single","pisces",NA,"cats",NA
"33814","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33815","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"33816","has dogs","f","single","taurus",NA,NA,"dogs"
"33817","likes dogs","f","single","cancer",NA,"dogs",NA
"33818","likes dogs","m","single","gemini",NA,"dogs",NA
"33819","likes dogs and has cats","m","single","cancer",NA,"dogs","cats"
"33820","likes dogs","f","single","aquarius",NA,"dogs",NA
"33821","likes cats","m","single","sagittarius",NA,"cats",NA
"33822","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"33823",NA,"m","single","capricorn",NA,NA,NA
"33824",NA,"m","single","aquarius",NA,NA,NA
"33825","likes dogs and dislikes cats","m","single","scorpio","cats","dogs",NA
"33826","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"33827","has dogs","m","single","virgo",NA,NA,"dogs"
"33828","has dogs and likes cats","m","single","cancer",NA,"cats","dogs"
"33829","likes dogs","m","single","cancer",NA,"dogs",NA
"33830","dislikes cats","m","single","libra","cats","cats",NA
"33831","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33832","has dogs and likes cats","m","single","leo",NA,"cats","dogs"
"33833","likes dogs and has cats","m","available","sagittarius",NA,"dogs","cats"
"33834","likes dogs","m","single","gemini",NA,"dogs",NA
"33835","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"33836","likes dogs and has cats","m","single","scorpio",NA,"dogs","cats"
"33837","has dogs","m","single","aquarius",NA,NA,"dogs"
"33838","likes dogs and has cats","m","single","scorpio",NA,"dogs","cats"
"33839","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33840","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"33841","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"33842","has dogs and dislikes cats","f","single","virgo","cats","cats","dogs"
"33843","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33844","has cats","f","single","leo",NA,NA,"cats"
"33845","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"33846","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"33847","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"33848",NA,"m","single","cancer",NA,NA,NA
"33849","likes dogs and dislikes cats","m","single","libra","cats","dogs",NA
"33850","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33851","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33852","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33853",NA,"m","single","scorpio",NA,NA,NA
"33854","has dogs and likes cats","m","single","leo",NA,"cats","dogs"
"33855","has cats","f","single","virgo",NA,NA,"cats"
"33856","likes dogs and has cats","m","seeing someone","sagittarius",NA,"dogs","cats"
"33857","dislikes dogs and has cats","m","single","cancer","dogs","dogs","cats"
"33858","likes cats","m","single","pisces",NA,"cats",NA
"33859","has dogs","m","single","scorpio",NA,NA,"dogs"
"33860",NA,"m","single","pisces",NA,NA,NA
"33861",NA,"m","single","scorpio",NA,NA,NA
"33862","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"33863",NA,"m","available","aries",NA,NA,NA
"33864","likes dogs and dislikes cats","m","single","cancer","cats","dogs",NA
"33865","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"33866","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"33867",NA,"f","single","scorpio",NA,NA,NA
"33868","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"33869","likes dogs","m","single","sagittarius",NA,"dogs",NA
"33870","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"33871","likes dogs","f","single","sagittarius",NA,"dogs",NA
"33872",NA,"m","single","gemini",NA,NA,NA
"33873","likes dogs","m","single","aries",NA,"dogs",NA
"33874",NA,"m","single","cancer",NA,NA,NA
"33875","likes dogs","m","single","libra",NA,"dogs",NA
"33876","likes dogs","f","single","capricorn",NA,"dogs",NA
"33877","likes dogs and dislikes cats","m","seeing someone","scorpio","cats","dogs",NA
"33878",NA,"f","single","aries",NA,NA,NA
"33879","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"33880","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"33881",NA,"f","single","aries",NA,NA,NA
"33882","likes dogs and dislikes cats","f","single","cancer","cats","dogs",NA
"33883","likes dogs","f","single","taurus",NA,"dogs",NA
"33884","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"33885","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"33886","has dogs","m","single","pisces",NA,NA,"dogs"
"33887",NA,"m","single","sagittarius",NA,NA,NA
"33888",NA,"m","single","pisces",NA,NA,NA
"33889","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"33890","likes dogs","m","single","aries",NA,"dogs",NA
"33891","likes dogs","f","single","capricorn",NA,"dogs",NA
"33892","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"33893","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33894","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"33895",NA,"f","single","sagittarius",NA,NA,NA
"33896","likes dogs","m","single","pisces",NA,"dogs",NA
"33897","likes dogs","f","single","taurus",NA,"dogs",NA
"33898","has dogs and likes cats","m","single","aries",NA,"cats","dogs"
"33899","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"33900","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"33901","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"33902","has dogs","m","single","taurus",NA,NA,"dogs"
"33903",NA,"m","single","libra",NA,NA,NA
"33904","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"33905","has dogs and has cats","f","single","virgo",NA,NA,"dogs/cats"
"33906","has dogs","f","single","capricorn",NA,NA,"dogs"
"33907","likes dogs","f","single","aquarius",NA,"dogs",NA
"33908","likes dogs and dislikes cats","m","single","taurus","cats","dogs",NA
"33909","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"33910","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"33911","likes dogs and likes cats","f","married","sagittarius",NA,"dogs/cats",NA
"33912",NA,"f","single","pisces",NA,NA,NA
"33913","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"33914","likes dogs and dislikes cats","m","single","aquarius","cats","dogs",NA
"33915","likes dogs and dislikes cats","m","single","gemini","cats","dogs",NA
"33916","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33917",NA,"m","single","gemini",NA,NA,NA
"33918",NA,"m","single","gemini",NA,NA,NA
"33919","has dogs","m","single","sagittarius",NA,NA,"dogs"
"33920","has dogs and likes cats","m","seeing someone","aquarius",NA,"cats","dogs"
"33921",NA,"m","single","cancer",NA,NA,NA
"33922",NA,"f","single","cancer",NA,NA,NA
"33923","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33924","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"33925","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"33926",NA,"m","single","gemini",NA,NA,NA
"33927","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"33928","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"33929","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33930","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"33931","likes dogs and has cats","m","available","aries",NA,"dogs","cats"
"33932","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33933","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"33934","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"33935","likes dogs","m","single","libra",NA,"dogs",NA
"33936","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"33937","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"33938",NA,"m","single","taurus",NA,NA,NA
"33939","has dogs","f","single","cancer",NA,NA,"dogs"
"33940","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33941",NA,"m","single","aquarius",NA,NA,NA
"33942","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33943","has dogs","f","single","pisces",NA,NA,"dogs"
"33944","has dogs","f","single","aquarius",NA,NA,"dogs"
"33945","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"33946","likes dogs","m","single","pisces",NA,"dogs",NA
"33947","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33948","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"33949",NA,"m","married","taurus",NA,NA,NA
"33950","dislikes dogs and dislikes cats","m","seeing someone","taurus","dogs/cats","dogs",NA
"33951","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"33952","has dogs","f","single","aquarius",NA,NA,"dogs"
"33953","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"33954","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"33955","likes dogs","m","single","sagittarius",NA,"dogs",NA
"33956","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"33957","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"33958","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"33959","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"33960","likes dogs and has cats","m","married","aquarius",NA,"dogs","cats"
"33961","has dogs and has cats","m","single","scorpio",NA,NA,"dogs/cats"
"33962","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"33963","dislikes dogs and dislikes cats","f","single","pisces","dogs/cats","dogs",NA
"33964","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33965",NA,"f","single","virgo",NA,NA,NA
"33966",NA,"m","single","scorpio",NA,NA,NA
"33967","has dogs","f","single","sagittarius",NA,NA,"dogs"
"33968","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"33969",NA,"f","single","cancer",NA,NA,NA
"33970",NA,"m","single","libra",NA,NA,NA
"33971",NA,"m","single","aries",NA,NA,NA
"33972",NA,"m","single","gemini",NA,NA,NA
"33973","has dogs and dislikes cats","m","single","scorpio","cats","cats","dogs"
"33974","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"33975","has dogs","f","single","scorpio",NA,NA,"dogs"
"33976","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"33977","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"33978","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"33979","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"33980","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"33981",NA,"m","single","libra",NA,NA,NA
"33982",NA,"m","single","aries",NA,NA,NA
"33983","likes dogs and has cats","m","single","capricorn",NA,"dogs","cats"
"33984",NA,"f","single","aquarius",NA,NA,NA
"33985","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"33986","likes dogs and likes cats","f","seeing someone","libra",NA,"dogs/cats",NA
"33987","has dogs and has cats","f","single","sagittarius",NA,NA,"dogs/cats"
"33988","has dogs","f","single","taurus",NA,NA,"dogs"
"33989",NA,"f","single","leo",NA,NA,NA
"33990","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"33991","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"33992",NA,"m","single","taurus",NA,NA,NA
"33993","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33994",NA,"m","single","leo",NA,NA,NA
"33995",NA,"m","single","capricorn",NA,NA,NA
"33996",NA,"f","single","pisces",NA,NA,NA
"33997",NA,"f","single","cancer",NA,NA,NA
"33998","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"33999","likes dogs and likes cats","f","available","aries",NA,"dogs/cats",NA
"34000","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"34001",NA,"m","single","pisces",NA,NA,NA
"34002","likes dogs","f","single","gemini",NA,"dogs",NA
"34003","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"34004","likes dogs","m","single","gemini",NA,"dogs",NA
"34005","likes dogs","m","single","gemini",NA,"dogs",NA
"34006",NA,"m","single","taurus",NA,NA,NA
"34007","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"34008","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"34009","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"34010",NA,"m","single","capricorn",NA,NA,NA
"34011","likes dogs and dislikes cats","f","single","virgo","cats","dogs",NA
"34012","has dogs","f","single","cancer",NA,NA,"dogs"
"34013","has dogs","f","single","aquarius",NA,NA,"dogs"
"34014",NA,"m","single","aquarius",NA,NA,NA
"34015",NA,"m","single","leo",NA,NA,NA
"34016",NA,"f","single","pisces",NA,NA,NA
"34017",NA,"m","single","leo",NA,NA,NA
"34018","likes dogs and dislikes cats","f","single","libra","cats","dogs",NA
"34019","likes dogs and dislikes cats","m","single","virgo","cats","dogs",NA
"34020","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"34021","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"34022","has dogs","m","single","cancer",NA,NA,"dogs"
"34023","likes dogs and has cats","m","single","cancer",NA,"dogs","cats"
"34024","has cats","f","single","taurus",NA,NA,"cats"
"34025","has dogs and has cats","m","single","cancer",NA,NA,"dogs/cats"
"34026","likes dogs and dislikes cats","m","single","taurus","cats","dogs",NA
"34027",NA,"f","single","libra",NA,NA,NA
"34028","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"34029","has dogs","f","single","taurus",NA,NA,"dogs"
"34030","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"34031","likes dogs","f","single","taurus",NA,"dogs",NA
"34032","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"34033","likes dogs","f","single","cancer",NA,"dogs",NA
"34034","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"34035","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"34036","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"34037","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"34038","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"34039","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"34040","has cats","f","single","scorpio",NA,NA,"cats"
"34041","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"34042","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"34043",NA,"m","single","leo",NA,NA,NA
"34044","likes dogs","f","single","leo",NA,"dogs",NA
"34045","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"34046","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"34047","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"34048","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"34049","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"34050","has dogs and likes cats","m","single","aries",NA,"cats","dogs"
"34051",NA,"f","single","cancer",NA,NA,NA
"34052",NA,"m","single","gemini",NA,NA,NA
"34053","likes dogs","m","single","taurus",NA,"dogs",NA
"34054","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"34055","likes dogs","f","single","cancer",NA,"dogs",NA
"34056",NA,"f","single","pisces",NA,NA,NA
"34057","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"34058",NA,"f","single","sagittarius",NA,NA,NA
"34059","likes dogs and dislikes cats","m","single","taurus","cats","dogs",NA
"34060",NA,"m","single","scorpio",NA,NA,NA
"34061","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"34062","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"34063",NA,"f","single","taurus",NA,NA,NA
"34064","likes dogs and has cats","f","single","capricorn",NA,"dogs","cats"
"34065","has dogs and has cats","f","seeing someone","virgo",NA,NA,"dogs/cats"
"34066","likes dogs and has cats","m","single","aries",NA,"dogs","cats"
"34067",NA,"m","single","libra",NA,NA,NA
"34068","has dogs","m","single","gemini",NA,NA,"dogs"
"34069",NA,"m","single","gemini",NA,NA,NA
"34070","likes dogs","f","single","libra",NA,"dogs",NA
"34071","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"34072",NA,"m","seeing someone","gemini",NA,NA,NA
"34073","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"34074",NA,"m","single","virgo",NA,NA,NA
"34075","has dogs and likes cats","m","single","sagittarius",NA,"cats","dogs"
"34076","likes dogs","m","single","libra",NA,"dogs",NA
"34077","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"34078","likes dogs","f","single","pisces",NA,"dogs",NA
"34079","likes dogs","m","single","aquarius",NA,"dogs",NA
"34080","has cats","f","single","pisces",NA,NA,"cats"
"34081",NA,"m","seeing someone","scorpio",NA,NA,NA
"34082","has dogs and has cats","f","single","taurus",NA,NA,"dogs/cats"
"34083","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"34084","has cats","f","seeing someone","aquarius",NA,NA,"cats"
"34085","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"34086",NA,"f","single","capricorn",NA,NA,NA
"34087","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"34088","likes dogs and dislikes cats","f","single","gemini","cats","dogs",NA
"34089","likes dogs and dislikes cats","m","single","aquarius","cats","dogs",NA
"34090","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"34091","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"34092","likes cats","f","single","virgo",NA,"cats",NA
"34093","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"34094",NA,"m","single","taurus",NA,NA,NA
"34095",NA,"f","single","pisces",NA,NA,NA
"34096",NA,"m","single","aries",NA,NA,NA
"34097","has dogs","f","single","gemini",NA,NA,"dogs"
"34098","likes dogs and dislikes cats","f","single","gemini","cats","dogs",NA
"34099","likes dogs","f","single","aquarius",NA,"dogs",NA
